start	end	text
683000	686000	You know, for the influencers?
686000	691000	So we're emailing the influencers, giving them a brand deal.
691000	695000	So say, hey.
695000	698000	Influencer number one, what is your.
698000	702000	Pricing for an Instagram post.
702000	709000	And then we want them to respond like, hey, my Instagram rate is $500 for a post.
709000	715000	And then you put his name and his price into air table.
715000	717000	All right.
717000	719000	Yeah.
719000	721000	So it's not super complicated.
721000	724000	The, there's a few edge cases where.
724000	727000	You're going to have to respond to the creator because they have some questions.
727000	730000	But then that's where you can use chat GPT.
730000	733000	Yeah, yeah.
733000	737000	That's what I mean when, when you had to do a specific, you know,
737000	741000	replies when people ask something different, a question.
741000	748000	When they answer question, it's going to be the role of this.
748000	751000	Like their responsibility to.
751000	757000	Look at our campaign brief and the brief has the answers to all the questions a creator might ask.
757000	762000	And then you basically just respond.
762000	770000	And then the tagging the tagging portion is labeling whether the creator was interested, not interested.
770000	775000	And then if they were interested and they gave the pricing, then you can.
775000	781000	Select another tag that basically says like, okay, it was added to air table.
781000	784000	And then sometimes the.
784000	787000	The creator has like a location in a niche.
787000	794000	And then there's like a couple things just to add to the CRM like about that person.
794000	796000	All right, I got it.
796000	798000	Yeah, it looks really simple.
798000	802000	It's something that I have really doing in the past.
802000	807000	Well, that was my last job on the email marketing.
807000	809000	Awesome.
809000	812000	So I have about six more interviews.
812000	822000	It looks like almost all of them are charging ten dollars or below.
822000	827000	So I'm curious if you're pricing is firm at 20.
827000	830000	Or if it's flexible.
830000	832000	All right, what do you say at the last?
832000	834000	I don't hear it pretty well.
834000	838000	I was asking me if your rate is flexible.
838000	841000	If the rate is is flexible.
841000	844000	Yeah.
844000	847000	Well, let's look.
847000	850000	It was just then, right?
850000	852000	Are you funny?
852000	855000	But a lot of the other people that applied put 10.
855000	857000	So I just wanted to be transparent.
857000	862000	Because we'll probably go with someone closer to 10.
862000	864000	Yeah, yeah, it is possible to 10.
864000	867000	I do me proposal for 10.
867000	868000	Okay.
868000	872000	Yeah, no, there's no problem with that.
872000	875000	Okay, great.
875000	876000	Awesome.
876000	879000	And you prefer a viewer.
879000	880000	Yes.
880000	881000	Okay.
881000	882000	Cool.
882000	886000	Nice to meet you, Aver.
886000	890000	Nice to meet you, Matt.
890000	891000	So we see in the chat.
891000	895000	I think I guess you had some more interviews, right?
895000	896000	Yeah, some more interviews.
896000	898000	And I'm going to talk to my team.
898000	903000	And I'll message you when I have more information.
903000	904000	All right.
904000	906000	Well, nice to meet you, Matt.
907000	909000	Hope you like what I do.
909000	912000	And we'll talk there.
912000	914000	Aver.
914000	915000	Adios.
915000	916000	Awesome.
916000	918000	Have a nice night.
